locationID,buildingID,schoolID,primaryLocation
1,841,10,0
2,52,46,1
3,57,62,0
5,138,136,0
7,821,136,0
11,2282,136,0
12,2283,136,0
13,2284,136,0
14,2285,136,0
15,2286,136,0
16,2296,136,0
18,2298,136,0
20,2300,136,0
21,2301,136,0
23,605,229,0
24,681,240,1
25,2285,282,0
26,963,291,1
27,1356,305,1
28,46,309,1
29,142,316,1
30,250,340,0
31,565,340,0
33,1285,340,1
35,1592,370,1
36,1589,418,1
37,90,427,1
40,606,443,1
41,52,473,0
42,1586,473,0
43,1038,500,0
44,1588,511,1
47,1577,551,1
53,47,645,0
56,953,660,0
57,1062,667,0
58,1588,675,1
59,640,689,0
60,689,691,0
62,611,709,0
65,88,722,0
66,821,725,0
67,123,776,0
68,51,778,0
69,1116,815,0
70,1132,821,0
72,774,857,1
74,48,867,0
75,833,867,0
76,657,888,0
77,1255,896,1
78,1357,906,1
79,1359,949,0
81,51,963,1
82,1683,964,0
83,596,972,0
84,836,973,1
85,837,973,1
86,688,991,0
87,1042,996,1
88,677,1007,1
90,1120,1033,0
91,121,1036,1
93,68,1047,1
94,1491,1052,0
96,1572,1063,0
102,2278,1065,1
103,257,1066,0
104,880,1066,0
105,1887,1066,0
107,2289,1066,0
108,2290,1066,0
110,2292,1066,0
111,2293,1066,0
114,924,1087,0
115,2302,1087,0
118,2305,1087,0
119,2306,1087,0
121,1585,1094,1
123,142,1117,1
124,618,1122,1
125,606,1125,1
126,1064,1126,1
127,971,1137,1
128,2452,1191,1
129,768,1194,1
130,47,1197,1
131,48,1198,1
133,1035,1200,1
134,69,1201,1
135,576,1204,1
136,50,1210,1
137,1356,1211,1
138,1356,1212,1
139,964,1214,1
140,1681,1216,0
141,1682,1216,0
142,1356,1219,1
143,688,1222,1
144,45,1223,1
145,982,1224,1
146,1363,1225,1
147,45,1226,1
148,1586,1238,1
149,618,1241,1
150,971,1244,1
151,971,1248,1
153,1264,1275,0
154,610,1290,1
155,695,1291,0
156,839,1291,0
157,840,1291,0
158,843,1291,0
159,1108,1291,1
160,681,1302,1
162,858,1317,1
163,857,1318,1
164,814,1330,1
165,861,1331,1
166,142,1332,1
167,596,1345,1
169,1108,1356,1
170,596,1367,1
171,613,1369,1
172,1133,1380,1
173,90,1381,1
174,688,1393,1
175,688,1394,1
176,596,1395,1
177,88,1399,1
178,89,1400,1
179,684,1401,1
180,45,1433,1
183,1330,1437,1
185,1589,1455,1
186,1592,1458,1
187,697,1459,1
189,1589,1461,1
190,689,1467,1
191,1586,1471,1
192,1031,1487,1
193,1108,1494,1
200,2460,782,1
201,2461,943,1
202,2461,923,1
203,2462,880,1
204,2464,967,1
205,2465,854,1
206,2467,801,1
208,2468,444,1
209,2469,353,1
210,2470,467,1
211,2470,1300,1
212,2471,285,1
213,2471,1281,1
214,2472,422,1
215,2473,376,1
217,2474,530,1
218,2474,1278,1
219,2475,329,1
220,2475,1189,1
221,2478,512,1
222,2478,1312,1
223,2480,968,1
224,2481,855,1
225,2481,1040,1
226,2482,1011,1
227,2483,802,1
228,2483,1339,1
229,2484,922,1
230,2484,804,1
232,2485,1473,1
233,2486,1020,1
234,2487,807,1
235,2488,891,1
236,2489,531,1
237,2489,809,1
238,2490,1218,1
239,2490,1249,1
240,2490,500,1
241,2492,847,1
242,2492,1426,1
243,2493,934,1
244,2494,903,1
245,2495,1351,1
246,2496,170,1
247,2497,639,1
248,2499,178,1
249,2500,120,1
250,2501,47,1
251,2502,1322,1
252,2502,1366,1
255,2504,213,1
256,2505,56,1
257,2507,1152,1
258,2507,1450,1
259,2508,31,1
260,2508,1081,1
261,2509,187,1
262,2509,822,1
263,2509,1462,1
264,2510,132,1
265,2512,701,1
266,2513,648,1
267,2515,628,1
268,2516,759,1
269,2516,1337,1
270,2517,546,1
271,2518,724,1
272,2519,767,1
274,2520,1474,1
275,2520,1475,1
276,2521,710,1
277,2522,749,1
278,2523,620,1
279,2524,406,1
280,2525,278,1
281,2526,215,1
282,2527,368,1
283,2528,323,1
284,2529,657,1
285,2530,750,1
