ID,code,address,city,state,zip,borough,name
5980,A101,7100 Highlands Parkway,Smyrna,GA,30082,NULL,IBM Smyrna
5753,ADOH,Unknown Address,Unknown City,NY,NULL,NULL,Unknown Building
5627,AIBM,1600 River Edge Parkway,Atlanta,GA,30328,NULL,IBM Atlanta
2458,C000,NOT AVAILABLE,NOT AVAILABLE,NA,,O,NO BUILDING ASSIGNED
2459,K000,UNASSIGNED,BROOKLYN,NY,00000,K,UNASSIGNED
2460,K001,309 47 STREET,BROOKLYN,NY,11220,K,P.S. 1 - BROOKLYN
2461,K002,655 PARKSIDE AVENUE,BROOKLYN,NY,11226,K,I.S. 2 - BROOKLYN
2462,K003,50 JEFFERSON AVENUE,BROOKLYN,NY,11216,K,P.S. 3 - BROOKLYN
2463,K005,820 HANCOCK STREET,BROOKLYN,NY,11233,K,P.S. 5 - BROOKLYN
2464,K006,43 SNYDER AVENUE,BROOKLYN,NY,11226,K,P.S. 6 - BROOKLYN
2465,K007,858 JAMAICA AVENUE,BROOKLYN,NY,11208,K,P.S. 7 - BROOKLYN
2466,K008,37 HICKS STREET,BROOKLYN,NY,11201,K,P.S. 8 - BROOKLYN
2467,K009,80 UNDERHILL AVENUE,BROOKLYN,NY,11238,K,P.S. 9 - BROOKLYN
2468,K010,511 7 AVENUE,BROOKLYN,NY,11215,K,P.S. 10 - BROOKLYN
2469,K011,419 WAVERLY AVENUE,BROOKLYN,NY,11238,K,P.S. 11 - BROOKLYN
2470,K012,430 HOWARD AVENUE,BROOKLYN,NY,11233,K,P.S. 12 - BROOKLYN
2471,K013,557 PENNSYLVANIA AVENUE,BROOKLYN,NY,11207,K,P.S. 13 - BROOKLYN
2472,K014,2424 BATCHELDER STREET,BROOKLYN,NY,11235,K,I.S. 14 - BROOKLYN
2473,K015,71 SULLIVAN STREET,BROOKLYN,NY,11231,K,P.S. 15 - BROOKLYN
2474,K016,157 WILSON STREET,BROOKLYN,NY,11211,K,P.S. 16 - BROOKLYN
2475,K017,208 NORTH  5 STREET,BROOKLYN,NY,11211,K,P.S. 17 - BROOKLYN
2476,K018,101 MAUJER STREET,BROOKLYN,NY,11206,K,P.S. 18 - BROOKLYN
2477,K019,325 SOUTH  3 STREET,BROOKLYN,NY,11211,K,P.S. 19 - BROOKLYN
2478,K020,225 ADELPHI STREET,BROOKLYN,NY,11205,K,P.S. 20 - BROOKLYN
2479,K021,180 CHAUNCEY STREET,BROOKLYN,NY,11233,K,P.S. 21 - BROOKLYN
2480,K022,443 ST MARKS AVENUE,BROOKLYN,NY,11238,K,P.S. 22 - BROOKLYN
2481,K023,545 WILLOUGHBY AVENUE,BROOKLYN,NY,11206,K,P.S. 23 - BROOKLYN
2482,K024,427 38 STREET,BROOKLYN,NY,11232,K,P.S. 24 - BROOKLYN
2483,K025,787 LAFAYETTE AVENUE,BROOKLYN,NY,11221,K,P.S. 25 - BROOKLYN 
2484,K026,1010 LAFAYETTE AVENUE,BROOKLYN,NY,11221,K,P.S. 26 - BROOKLYN
2485,K027,27 HUNTINGTON STREET,BROOKLYN,NY,11231,K,P.S. 27 - BROOKLYN
2486,K028,1001 HERKIMER STREET,BROOKLYN,NY,11233,K,P.S. 28 - BROOKLYN 
2487,K029,425 HENRY STREET,BROOKLYN,NY,11201,K,P.S. 29 - BROOKLYN
2488,K031,75 MESEROLE AVENUE,BROOKLYN,NY,11222,K,P.S. 31 (OLD 126) - K
2489,K032,317 HOYT STREET,BROOKLYN,NY,11231,K,P.S. 32 - BROOKLYN
