ID,NetworkID,CircuitTypeID,Active,NoLongerUsed,NoLongerUsedDate,CutoverDate,OrderNumberID,OrderDate,DueDate,IEDate,DisconnectOrderDate,DisconnectDate,Node,Bandwidth,DLCI_VCI_EVC,VADI_School,VADI_Headend,CircuitID_School,CircuitID_Headend,Agg_Circuit,Router,T3_OC3,DisconnectOrder,Status,WANIPAddressHeadEnd,WANIPAddressSchool,AggSwitchIntsID,OrderNumber,CircuitVendorID
28111,1,19,NULL,0,NULL,2014-03-12 00:00:00.000,NULL,2013-03-22 00:00:00.000,2014-03-06 00:00:00.000,2014-03-06 00:00:00.000,NULL,NULL,1,20,515,KQGN989524-ATI    ,KRGN985329-ATI,32KEGS021956NY,32KFGS200410NY,105,1,,,Active,10.254.1.57,10.254.1.58,665,,2
24136,2,19,1,NULL,NULL,2010-01-06 00:00:00.000,NULL,2009-05-07 00:00:00.000,2009-12-18 00:00:00.000,2009-12-18 00:00:00.000,NULL,NULL,2,10,2690,32.LVXX.004749,32.LUXX.003158,32.KEGS.004314,32.KFGS.196806,7,1,NULL,NULL,Active,10.253.82.77,10.253.82.78,7306,NULL,1
28238,3,19,NULL,0,NULL,NULL,NULL,2013-03-15 00:00:00.000,NULL,NULL,NULL,NULL,6,20,311,,,,,103,1,,,Ordered,10.254.80.169,10.254.80.170,3503,,2
26899,3,14,NULL,0,NULL,2009-08-06 00:00:00.000,0,2008-08-05 00:00:00.000,2009-04-01 00:00:00.000,2009-04-01 00:00:00.000,NULL,NULL,6,1.5,424,10QGXQ20902,10QIXQ15037NY,32HCGS520819,32HFGS620504NY,4,2,NULL,,Active,10.253.195.93,10.253.195.94,3628,NULL,1
27435,4,16,NULL,NULL,NULL,NULL,NULL,2012-08-14 14:25:34.907,NULL,NULL,NULL,NULL,1,30,,,32.LUXX.000846,,32.KFGS.000576,1,1,NULL,NULL,Planned,10.253.48.5,10.253.48.6,7573,,1
25423,4,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,,,,,,,,NULL,,RTI,,,NULL,NULL,1
27877,4,19,NULL,0,NULL,2012-04-23 00:00:00.000,NULL,2007-03-11 00:00:00.000,2007-04-15 00:00:00.000,2007-04-15 00:00:00.000,NULL,NULL,1,10,241,32.LVXX.001356,32.LUXX.000846,32.KEGS.001346,32.KFGS.000576,1,1,NULL,,RTI,10.253.48.5,10.253.48.6,7573,,1
28018,4,19,NULL,0,NULL,2013-05-22 00:00:00.000,NULL,2013-01-26 00:00:00.000,2013-05-20 00:00:00.000,2013-05-20 00:00:00.000,NULL,NULL,1,20,101,KQGN981980,KRGN985172,32KEGS020768NY,32KFGS200408NY,101,1,,,Active,10.254.0.1,10.254.0.2,683,,2
27900,5,14,NULL,0,NULL,2000-06-11 00:00:00.000,NULL,2000-02-18 00:00:00.000,2000-05-11 00:00:00.000,2000-05-11 00:00:00.000,NULL,NULL,1,1.5,142,10QGDQ11541,10QIXQ15161,32HCGL791505,32HFGS621650,1,1,,,Active,10.253.32.165,10.253.32.166,251,,1
27876,6,19,NULL,0,NULL,2007-04-15 00:00:00.000,NULL,2012-09-06 00:00:00.000,2007-04-15 00:00:00.000,2007-04-15 00:00:00.000,NULL,NULL,1,10,329,32.LVXX.001583 ,32.LUXX.000846,32.KEGS.001610,32.KFGS.000576,1,1,NULL,,Active,10.253.48.1,10.253.48.2,7572,S6-2,1
