id,NetworkID,InstalledDate,DeviceType,Make,Model,Software,IP,Hostname,Serial,MAC,FirstSeen,LastSeen,DeletedBy,Status
285844,1, ,instructional switch,Cisco,WS-C2924,c2900XL-h2s-mz-112.8.2-SA6.bin,10.24.192.8,Admin_000NSA_2924_X3,,,,,,
285912,1, ,Content Engine,Cisco,CE-566-144GB-K9,ce566-5.5.11.2,10.24.192.110,000NSA-CE1,KQTNC7N,,3/13/2012,6/9/2014,NULL,Active
285924,1, ,router,Cisco,CISCO2612,c2600-is-mz.120-7.T.bin,10.24.206.2,000NSA_R2,JAD051302CV,,3/13/2012,6/9/2014,NULL,Active
327776,1, ,instructional switch,Cisco,WS-C6506,cat6000-sup2k8.8-5-1.bin,10.24.192.6,000NSA_6506X1,TBM06014538,,9/10/2013,6/9/2014,NULL,Active
310981,1, ,firewall,Cisco,PIX-525-SW-UR,6.3(4),10.24.207.254,000NSAPIX,809033669,,12/11/2012,6/9/2014,NULL,Active
310982,1, ,IPDVSServer,IBM,7377AC1,na,10.224.0.6,000NSAIPDVS1,KQ3K65R,,12/11/2012,4/3/2014,NULL,Active
344986,1, ,router,Cisco,CISCO2951/K9,c2951-universalk9-mz.SPA.151-2.T1.bin,10.24.207.129,000NSA_2951_EVPL-ATT,FTX1717AMS0,,3/12/2014,6/9/2014,NULL,Active
345282,1, ,instructional switch,Cisco,WS-C3550-24PWR-SMI,c3550-i9q3l2-mz.122-25.SEA.bin,10.24.192.7,000NSA_3524PWR_X2,CAT0826Z1LY,,3/25/2014,6/9/2014,NULL,Active
264925,1, ,Procon Server,IBM,5000: 8659-1SY,NULL,10.24.192.100,000NSAS010,23B6395,NULL,2/9/2012,2/9/2012,NULL,Active
264926,2, ,Procon Server,IBM,4500: 8656-4RY,NULL,10.102.48.100,000NSDs001,23G6686,NULL,2/9/2012,2/9/2012,NULL,Active
327775,2, ,instructional switch,Cisco,WS-C6506,cat6000-supk8.7-6-1.bin,10.102.48.6,000NSD_6506X1,TBM06058612,,9/10/2013,6/9/2014,NULL,Active
270050,2,8/1/2002,instructional switch,Cisco,WS-C3548-XL-EN,c3500XL-c3h2s-mz-120.5.2-XU.bin,10.102.48.7,000NSD_3548X2,FAB0539U1B1,,3/13/2012,6/9/2014,NULL,Active
270086,2, ,instructional switch,Cisco,WS-C3548-XL-EN,c3500XL-c3h2s-mz.120-5.WC3b.bin,10.102.48.8,000NSD_3548X3,FAB0538V4HL,,3/13/2012,6/9/2014,NULL,Active
270114,2, ,instructional switch,Cisco,WS-C2950-24,c2950-i6q4l2-mz.121-22.EA6.bin,10.102.48.9,000NSD_Admin_2950X4,FHK0727Y0AZ,,3/13/2012,6/9/2014,NULL,Active
270245,2, ,router,Cisco,CISCO3845,c3845-entbasek9-mz.124-20.T2.bin,10.102.63.129,000NSDR1_3845_EVPL,FTX1225A143,,3/13/2012,6/9/2014,NULL,Active
270256,2, ,firewall,Cisco,PIX-525-SW-R,6.3(5),10.102.63.254,000NSDPIX,809382066,,3/13/2012,6/9/2014,NULL,Active
270260,2, ,router,Cisco,CISCO2612,c2600-is-mz.120-7.T.bin,10.102.62.2,000NSDR2,JAD051302HS,,3/13/2012,6/9/2014,NULL,Active
269190,3,9/30/2001,instructional switch,Cisco,WS-C3548-XL-EN,c3500XL-c3h2s-mz-120.5.2-XU.bin,10.102.208.6,000NSE_3548X1,FAA0514M1JW,,3/13/2012,6/9/2014,NULL,Active
269218,3,7/28/2003,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz.120-5.WC3b.bin,10.102.208.8,000NSE_3524PWR_X3,CHK0633V0MJ,,3/13/2012,6/9/2014,NULL,Active
269365,3, ,router,Cisco,CISCO3640,c3640-ik9s-mz.122-8.T.bin,10.102.223.129,000NSE_R1,25047174,,3/13/2012,6/9/2014,NULL,Active
269375,3, ,router,Cisco,CISCO2612,c2600-is-mz.120-7.T.bin,10.102.222.2,000NSER2,JAD051308BG,,3/13/2012,6/9/2014,NULL,Active
325712,3, ,Content Engine,Cisco,CE590,ce590-5.5.31.1,10.102.208.110,000NSE-CE1,CAM072102XK,,8/13/2013,6/9/2014,NULL,Active
292709,3,2/21/2002,instructional switch,Cisco,WS-C3548-XL-EN,c3500XL-c3h2s-mz-120.5.2-XU.bin,10.102.208.7,000NSE_3548X2,FAA0449G0VX,,4/29/2012,6/9/2014,NULL,Active
345664,3, ,admin switch,Cisco,unknown,na,10.102.208.72,unknown,na,,4/13/2014,6/9/2014,NULL,Active
345665,3, ,admin switch,Cisco,unknown,na,10.102.208.73,unknown,na,,4/13/2014,6/9/2014,NULL,Active
345667,3, ,admin switch,Cisco,unknown,na,10.102.208.74,unknown,na,,4/13/2014,6/9/2014,NULL,Active
345668,3, ,admin switch,Cisco,unknown,na,10.102.208.77,unknown,na,,4/13/2014,6/9/2014,NULL,Active
345669,3, ,admin switch,Cisco,unknown,na,10.102.208.78,unknown,na,,4/13/2014,6/9/2014,NULL,Active
345782,4, ,CiscoController,Cisco,AIR-CT5508-K9,7.3.112.0,10.99.154.3,00B000_WLC1,FCW1446L07D,,4/17/2014,5/13/2014,NULL,Active
345603,4, ,instructional switch,Cisco,WS-C3550-24PWR-SMI,c3550-i9q3l2-mz.122-25.SEA.bin,10.99.144.28,00B000_X23,CAT0737X1TV,,4/10/2014,6/9/2014,NULL,Active
345977,4, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-i9q3l2-mz.122-25.SEA.bin,10.99.144.27,00B000_X22_FSUROOM,CAT0722Y0LM,,4/24/2014,6/9/2014,NULL,Active
294573,4, ,IPDVSServer,IBM,8840-2CY,na,10.224.20.6,00B000IPDVS1,KDTFC23,,5/15/2012,6/25/2013,NULL,Active
345161,4, ,instructional switch,Cisco,WS-C6506,s3223-adventerprisek9_wan-mz.122-33.SXJ5.bin,10.99.144.6,unknown,TBA04220538,,3/19/2014,6/9/2014,NULL,Active
345162,4, ,admin switch,Cisco,unknown,na,10.99.144.12,unknown,na,,3/19/2014,6/9/2014,NULL,Active
305546,4, ,Content Engine,Cisco,CE590,ce590-5.5.21.3,10.99.144.110,00B000-CE1,SCK063300H8,,9/2/2012,6/9/2014,NULL,Active
307636,4, ,firewall,Cisco,ASA5510-SEC-BUN-K9,asa724-k8.bin,10.99.159.254,00B000-ASA,JMX0922L0P4,,10/29/2012,6/9/2014,NULL,Active
327774,4, ,instructional switch,Cisco,WS-C3560-48PS-S,c3560-ipbase-mz.122-44.SE3.bin,10.99.144.10,00B000_3560-PWR_X5,CAT0825N3QV,,9/10/2013,6/9/2014,NULL,Active
344244,4, ,CiscoController,Cisco,AIR-CT5508-K9,7.6.100.4,10.99.154.5,00B000_WLC2,FCW1508L0JD,,2/13/2014,3/26/2014,NULL,Active
344722,4, ,Content Engine,Cisco,WAE-612-K9,ce612-5.5.31.1,10.99.144.112,00B000-CE2,KQLACBM,,3/4/2014,6/9/2014,NULL,Active
285007,4, ,instructional switch,Cisco,WS-C3550-24PWR-SMI,c3550-i9q3l2-mz.121-13.EA1c.bin,10.99.144.25,DVS_LAB_X20,CAT0718Z1B6,,3/13/2012,6/9/2014,NULL,Active
285128,4, ,IPDVSServer,IBM,7377AC1,na,10.224.20.7,00B000IPDVS2,KQ43LT9,,3/13/2012,6/9/2014,NULL,Active
319752,4, ,router,Cisco,CISCO3845,c3845-entservicesk9-mz.124-2.T5.bin,10.99.159.129,00B000R1_3845_EVPL-ATT,FTX1124A1LJ,,5/22/2013,6/9/2014,NULL,Active
346130,4, ,instructional switch,Cisco,WS-C3548-XL-EN,c3500XL-c3h2s-mz-120.5.2-XU.bin,10.99.144.26,00B000_X21_FSULAB,FAA0434H0NN,,5/5/2014,6/9/2014,NULL,Active
281175,5, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-i5q3l2-mz.121-22.EA1a.bin,10.115.248.6,00B000A_X1,CAT0838N0YT,,3/13/2012,6/9/2014,NULL,Active
281299,5, ,router,Cisco,CISCO3640,c3640-ik9s-mz.122-8.T.bin,10.115.251.129,00B000A_R1-CSE,21987717,,3/13/2012,6/9/2014,NULL,Active
338054,6, ,firewall,Cisco,ASA5515,asa861-2-smp-k8.bin,10.98.143.254,00B001-ASA5515X,FCH1709J7RU,,9/19/2013,6/9/2014,NULL,Active
345780,6, ,instructional switch,Cisco,WS-C3560-48PS-S,c3560-ipbase-mz.122-44.SE3.bin,10.98.128.9,IPDVS_EdgeSwitch1,FDO1312X226,,4/17/2014,6/9/2014,NULL,Active
342137,6, ,CiscoController,Cisco,AIR-WLC4404-100-K9,7.0.240.0,10.98.138.3,00B001_WLC1_POCLAB,FOC1428F02B,,12/11/2013,5/27/2014,NULL,Active
344985,6, ,instructional switch,Cisco,WS-C2960X-48FPD-L,c2960x-universalk9-mz.150-2.EX4.bin,10.98.128.228,00B001_X223_Testing,FOC1747S5ED,,3/12/2014,3/20/2014,NULL,Active
345479,6, ,instructional switch,Cisco,WS-C2960X-48FPD-L,c2960x-universalk9-mz.150-2.EX4.bin,10.98.128.28,00B001_X23_POC001,FCW1804A1KN,,4/7/2014,6/1/2014,NULL,Active
345235,6, ,instructional switch,Cisco,WS-C6506,s3223-entservicesk9_wan-mz.122-18.SXF8.bin,10.98.128.6,00B001_6500_X1,TBA04511527,,3/23/2014,6/9/2014,NULL,Active
345236,6, ,router,Cisco,CISCO3845,c3845-ipbase-mz.124-24.T7.bin,10.98.143.129,00B001R1_3845_EVPL-VZ,FTX1302A4HK,,3/23/2014,6/9/2014,NULL,Active
345269,6, ,CiscoController,Cisco,AIR-CT5508-K9,7.3.112.0,10.98.138.5,00B001_WLC1_5500,FCW1736L053,,3/24/2014,6/9/2014,NULL,Active
325689,6, ,Content Engine,Cisco,CE590,ce590-5.5.31.1,10.98.128.110,00B001-CE1,CAM0721030S,,8/13/2013,6/9/2014,NULL,Active
346489,6, ,instructional switch,Cisco,WS-C2960X-48FPD-L,c2960x-universalk9-mz.150-2.EX4.bin,10.98.128.27,00B001_X22_Taperoom,FCW1804A1KP,,5/25/2014,6/1/2014,NULL,Active
344895,6, ,instructional switch,Cisco,WS-C2960X-48FPD-L,c2960x-universalk9-mz.150-2.EX4.bin,10.98.128.227,00B001_2960X_X1B,FOC1748S01E,,3/10/2014,3/20/2014,NULL,Active
340677,6, ,IPDVSServer,IBM,na,na,10.238.132.6,00B001IPDVS1,na,,11/13/2013,6/9/2014,NULL,Active
230041,7, ,Firewall,Cisco,PIX520,NULL,10.157.111.254,NA,NA,NULL,2/10/2011,6/27/2011,NULL,Active
230042,9, ,Firewall,Cisco,PIX520,NULL,10.42.159.254,NA,NA,NULL,2/10/2011,6/27/2011,NULL,Active
284122,10, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-i9q3l2-mz.121-12c.EA1.bin,10.107.112.6,00BSHA_3550X1,CHK0704V1EA,,3/13/2012,6/9/2014,NULL,Active
284140,10, ,instructional switch,Cisco,WS-C2924,c2900XL-h2s-mz-112.8.2-SA6.bin,10.107.112.7,00BSHA_2924_X2,,,,,,
308372,10, ,router,Cisco,CISCO3845,c3845-entbasek9-mz.124-20.T2.bin,10.107.127.129,00BSHAR1_3845_EVPL,FTX1422AJ60,,11/5/2012,6/9/2014,NULL,Active
230043,11, ,Firewall,Cisco,PIX520,NULL,10.107.159.254,NA,NA,NULL,2/10/2011,6/27/2011,NULL,Active
271166,12, ,router,Cisco,CISCO3640,c3640-ik9s-mz.122-8.T.bin,10.99.207.129,00BSNA_R1,7672841,,3/13/2012,5/7/2012,NULL,Active
271173,12, ,router,Cisco,CISCO2612,c2600-is-mz.120-7.T.bin,10.99.206.2,00BSNA_R2,JAB034204U1,,3/13/2012,5/7/2012,NULL,Active
271012,12, ,instructional switch,Cisco,WS-C3548-XL-EN,c3500XL-c3h2s-mz.120-5.WC3b.bin,10.99.192.6,00BSNA_3550_X1,FHK0617Z12M,,3/13/2012,5/7/2012,NULL,Active
230044,13, ,Firewall,Cisco,PIX520,NULL,10.33.95.254,NA,NA,NULL,2/10/2011,6/27/2011,NULL,Active
319652,14, ,Procon Server,IBM,8670-GBX,na,10.41.16.100,00M001S001,KPBCNGB,,5/21/2013,6/9/2014,NULL,Active
305802,14, ,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz-120-5.3.WC.1.bin,10.41.16.10,00M001_3524PWRX5-Rm108,CHK0653V04U,,9/9/2012,6/9/2014,NULL,Active
325631,14, ,Content Engine,Cisco,CE590,ce590-5.5.31.1,10.41.16.110,00M001-CE1,SCK0633005Q,,8/13/2013,6/9/2014,NULL,Active
273408,14, ,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz-120-5.3.WC.1.bin,10.41.16.8,00M001_3524PWRX3-Rm152,CHK0653V043,,3/13/2012,6/9/2014,NULL,Active
273454,14, ,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz-120-5.3.WC.1.bin,10.41.16.11,00M001_3424PWRX6-Rm110,CHK0653V041,,3/13/2012,6/9/2014,NULL,Active
273471,14, ,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz-120-5.3.WC.1.bin,10.41.16.12,00M001_3524PWRX7-Rm113,CHK0653V03R,,3/13/2012,6/9/2014,NULL,Active
273487,14, ,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz-120-5.3.WC.1.bin,10.41.16.13,00M001_3524PWRX8-Rm115,CHK0653V03L,,3/13/2012,6/9/2014,NULL,Active
273508,14, ,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz-120-5.3.WC.1.bin,10.41.16.14,00M001_3524PWRX9-Rm118,CHK0653V03M,,3/13/2012,6/9/2014,NULL,Active
273527,14, ,instructional switch,Cisco,WS-C3524-PWR-XL-EN,c3500XL-c3h2s-mz-120-5.3.WC.1.bin,10.41.16.15,00M001_3524PWRX10-Rm120,CHK0653V04J,,3/13/2012,6/9/2014,NULL,Active
273562,14, ,instructional switch,Cisco,WS-C2950C-24,c2950-c3h2s-mz.120-5.3.WC.1.bin,10.41.16.20,00M001_2950_X15-Rm154B,FAB0542Y2J4,,3/13/2012,6/9/2014,NULL,Active
273684,14, ,router,Cisco,CISCO3745,c3745-is-mz.123-15a.bin,10.41.31.129,00M001R1_3745_EVPL,JMX0742L0PP,,3/13/2012,6/9/2014,NULL,Active
273688,14, ,firewall,Cisco,PIX-525-SW-UR,6.3(4),10.41.31.254,00M001PIX,807075730,,3/13/2012,6/9/2014,NULL,Active
273691,14, ,router,Cisco,CISCO2811,c2800nm-ipbase-mz.123-8.T11.bin,10.41.30.2,00M001_2811_R2,FTX1132A2LZ,,3/13/2012,6/9/2014,NULL,Active
327933,14, ,instructional switch,Cisco,WS-C6506,cat6000-sup2k8.8-5-1.bin,10.41.16.6,00M001_6506X1,TBM06451167,,9/10/2013,6/9/2014,NULL,Active
267999,15, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-i9q3l2-mz.121-22.EA1a.bin,10.107.96.6,00MSHA_X1,CAT0852Y0HS,,3/13/2012,6/9/2014,NULL,Active
268013,15, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-i9q3l2-mz.121-22.EA1a.bin,10.107.96.7,00MSHA_X2,CAT0852Y0HW,,3/13/2012,6/9/2014,NULL,Active
268168,15, ,router,Cisco,CISCO3745,c3745-is-mz.123-15a.bin,10.107.111.129,00MSHAR1_3745_EVPL,JMX0903L1W4,,3/13/2012,6/9/2014,NULL,Active
288920,16, ,router,Cisco,CISCO2612,c2600-is-mz.120-5.t1.bin,10.223.14.2,00Q0VBR2,JAB041183S8,,3/27/2012,4/5/2012,NULL,Active
291308,16, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-ipservicesk9-mz.122-25.SEC2.bin,10.223.0.7,00Q0VB_3550X1,CAT0724Z13Z,,4/17/2012,1/9/2013,NULL,Active
290756,16, ,instructional switch,Cisco,WS-C3750-48TS-E,c3750-ipservicesk9-mz.122-25.SEE3.bin,10.223.0.6,00Q0VB_3750_XR1,FDO1150Y2YR,,4/11/2012,6/9/2014,NULL,Active
286475,16, ,router,Cisco,CISCO3745,c3745-is-mz.123-15a.bin,10.223.15.129,00Q0VBR1_3745_EVPL,JHY0739K06C,,3/14/2012,6/9/2014,NULL,Active
286476,16, ,firewall,Cisco,ASA5510-SEC-BUN-K9,asa708-k8.bin,10.223.15.254,00Q0VB-ASA,JMX1324L0FH,,3/14/2012,6/9/2014,NULL,Active
291664,16, ,instructional switch,Cisco,WS-C3750-48TS-E,c3750-ipservicesk9-mz.122-25.SEE3.bin,10.245.163.251,00Q0VB_3750_XR1,FDO1150Y2YR,,4/18/2012,1/26/2014,NULL,Active
343689,17, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-i9q3l2-mz.121-12c.EA1.bin,10.107.32.9,00QCAA_3550_X4,CHK0704W0WV,,1/26/2014,6/9/2014,NULL,Active
276880,17, ,instructional switch,Cisco,WS-C3750-48PS,c3750-ipservicesk9-mz.122-25.SEE3.bin,10.107.32.6,00QCCA_3750_XR1,CAT0908R088,,3/13/2012,6/9/2014,NULL,Active
276900,17, ,instructional switch,Cisco,WS-C3548-XL-EN,c3500XL-c3h2s-mz.120-5.WC3b.bin,10.107.32.7,00QCAA_3548_X2,FAA0418F041,,3/13/2012,6/9/2014,NULL,Active
276922,17, ,instructional switch,Cisco,WS-C3524-XL-EN,c3500XL-c3h2s-mz-120.5.1-XP.bin,10.107.32.8,00QCAA_3524_X3,0x12,,3/13/2012,6/9/2014,NULL,Active
276970,17, ,instructional switch,Cisco,WS-C3548-XL-EN,c3500xl-c3h2s-mz.120-5.WC9.bin,10.107.32.10,00QCAA_3548_X5,FHK0613Z136,,3/13/2012,6/9/2014,NULL,Active
277120,17, ,router,Cisco,CISCO3745,c3745-jk9o3s-mz.122-15.T2.bin,10.107.47.129,00QCCAR1_3745_EVPL,JMX0726L2ZE,,3/13/2012,6/9/2014,NULL,Active
285006,18, ,instructional switch,Cisco,WS-C2924,c2900XL-hs-mz-112_8_6-SA6.bin,10.107.128.8,00XSHA_2924X3,,,,,,
284987,18, ,instructional switch,Cisco,WS-C3550-48-SMI,c3550-i9q3l2-mz.121-13.EA1a.bin,10.107.128.6,00XSHA_3550X1,CAT0743Z0NK,,3/13/2012,6/9/2014,NULL,Active
284998,18, ,instructional switch,Cisco,WS-C2924,c2900XL-h2s-mz-112.8.2-SA6.bin,10.107.128.7,00XSHA_2924X2,,,,,,
285020,18, ,instructional switch,Cisco,WS-C2924,c2900XL-hs-mz-112_8_6-SA6.bin,10.107.128.9,00XSHA_2924X4,,,,,,
285029,18, ,instructional switch,Cisco,WS-C2950-24,c2950-i6q4l2-mz.121-22.EA10a.bin,10.107.128.10,00XSHA_2924X5,FOC1236X0RS,,3/13/2012,6/9/2014,NULL,Active
