ID,RackCode,IDFID,CabinetLocationID,BuildingID,NetworkAddress,Netmask,ServiceNetwork,SecondScope,VLAN2,VLAN2Netmask,VLAN2Exclude,VLAN21,VLAN21Netmask,VLAN21Exclude,MonitorNetwork,MonitorNetChange,Status,DeployedDate,Model,CAAS,CAASDate,CDN,CDNDate,IPTV,IPTVDate,IPDVS,IPDVSDate,LonWorks,LonWorksDate,POS,POSDate,MultiAdminVLAN,VRF,X0,MainFrameAccess,MainFrameDate,Dialbackup,DialbackupDate,PhoneNumber,WirelessModel,WirelessDate,SSID,WEPKEY,PresharedKEY,ProconRSA,Deployed,RODC,RODCDate,NGWClientsWindowsXP,NGWClientsWindowsXPDate,NGWClientsWindows7,NGWClientsWindows7Date,NGWClientsMacintosh,NGWClientsMacintoshDate,Izone,IzoneDate,CLE,CLEDate,ILS,ILSDate,MonitorHIS,MonitorHISDate,MAGICDefaultSchoolID,DefaultNetwork,ServiceNetworkDeployed,ServiceNetworkDeployedDate,SiteTypeID,WirelessRadios,WirelessMode11b,NME
1,000NSA,3,3,2933,10.24.192.0,255.255.240.0,10.224.0.0,10.128.0.0,10.24.206.2,255.255.255.128,10.24.206.19,10.24.206.129,255.255.255.128,10.24.206.149,1,00:00.0,Active,,Full,0,,1,8/27/2003,0,,1,12/11/2012,0,,0,,0,0,0,0,,1,6/11/2008,718-277-3050,W1,1/1/1900,WJBOE000NSA,932D781003,932D781003@RACKID000NSA,1,1,0,,0,1/1/1900,0,1/1/1900,0,1/1/1900,0,,0,,0,,,,,,1,12/4/2012,1,B,0,0
2,000NSD,4413,4413,3455,10.102.48.0,255.255.240.0,10.224.8.0,10.50.0.0,10.102.62.2,255.255.255.0,10.102.62.39,10.102.63.1,255.255.255.128,10.102.63.19,1,,Active,,Full,0,,0,,0,,0,,0,,0,,0,0,0,1,,0,,,None,1/1/1900,,,,1,1,,,,,,,,,,,,,,,,,1275,,0,,1,,,
3,000NSE,4,4,5334,10.102.208.0,255.255.240.0,10.241.164.0,10.160.0.0,10.102.222.2,255.255.255.0,10.102.222.39,10.102.223.1,255.255.255.128,10.102.223.19,1,,Active,,Full,0,,1,7/25/2003,0,,0,,0,,0,,0,0,0,0,,0,,,W1,1/1/1900,WJBOE78X530,530D782003,530D782003@RACKID000NSE,1,1,,,,,,,,,,,,,,,,,,,0,,1,B,,
4,00B000,1481,5,2843,10.99.144.0,255.255.240.0,10.224.20.0,10.101.144.0,10.99.158.2,255.255.255.0,10.99.158.39,10.101.158.2,255.255.255.0,10.101.158.39,0,00:00.0,Active,,Full,0,,0,,0,,0,,0,,0,,1,1,0,0,,0,,,W7,1/1/1900,WJBOE00B000,000D001001,000D001001@RACKID00B000,1,0,0,,0,1/1/1900,0,1/1/1900,0,1/1/1900,0,,0,,0,,,,,,1,,3,A/B/G,1,1
5,00B000A,5,5,2843,10.115.248.0,255.255.252.0,,,10.115.250.1,255.255.255.128,10.115.250.19,10.115.250.129,255.255.255.128,10.115.250.149,0,,Active,,Annex,0,,0,,0,,0,,0,,0,,0,0,0,1,,0,,,None,1/1/1900,,,,1,,,,,,,,,,,,,,,,,,,,0,,3,,,
6,00B001,5,5,2843,10.98.128.0,255.255.240.0,10.238.132.0,10.128.48.0,10.98.142.2,255.255.255.0,10.98.142.39,10.128.62.2,255.255.255.0,10.128.62.39,0,00:00.0,Active,,Full,0,,1,,0,,0,,0,,0,,1,1,0,1,,0,,,W7,1/1/1900,,001D001001,001D001001@RACKID00B001,1,0,0,,0,1/1/1900,0,1/1/1900,0,1/1/1900,0,,0,,0,,,,,,1,,3,A/B/G,0,0
7,00B123,5,5,2843,10.157.96.0,255.255.240.0,10.243.72.0,10.157.112.0,10.157.110.2,255.255.255.0,10.157.110.39,10.157.126.2,255.255.255.0,10.157.126.39,0,,Active,,Full,0,,1,,0,,0,,0,,0,,1,0,0,1,,0,,,None,1/1/1900,,,,1,1,0,,0,1/1/1900,0,1/1/1900,0,1/1/1900,0,,0,,0,,,,,,1,,3,,,
8,00B427B,0,3401,1300,10.107.0.0,255.255.240.0,10.243.172.0,,10.107.14.2,255.255.255.128,10.107.14.19,10.107.14.129,255.255.255.128,10.107.14.149,0,,Decommissioned,,Full,0,,0,,0,,0,,0,,0,,0,0,0,1,,1,3/14/2008,,Custom,1/1/1900,N/A,427D001001,427D001001@RACKID00B427B,1,,,,,,,,,,,,,,,,,,,,0,,1,,,
9,00BATM,5,5,2843,10.42.144.0,255.255.240.0,10.224.24.0,10.128.64.0,10.42.158.2,255.255.255.128,10.42.158.19,10.42.158.129,255.255.255.128,10.42.158.149,0,,Active,,Full,0,,0,,0,,0,,0,,0,,1,0,0,0,,0,,,None,1/1/1900,,,,1,,,,,,,,,,,,,,,,,,,,0,,3,,,
10,00BSHA,6,6,2835,10.107.112.0,255.255.240.0,10.243.200.0,10.128.80.0,10.107.126.2,255.255.255.128,10.107.126.19,10.107.126.129,255.255.255.128,10.107.126.149,1,,Active,,Full,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,12/1/2004,7184984834,None,1/1/1900,,,,1,1,,,,,,,,,,,,,,,,,,,0,,1,,,
11,00BSHB,7,7,2978,10.107.144.0,255.255.240.0,10.243.208.0,10.128.96.0,10.107.158.2,255.255.255.128,10.107.158.19,10.107.158.129,255.255.255.128,10.107.158.149,0,,Decommissioned,,Full,0,,0,,0,,0,,0,,0,,0,0,0,0,,1,,7188752756,W1,1/1/1900,,,,1,,,,,,,,,,,,,,,,,,,,0,,3,,,
12,00BSNA,1481,5,2843,10.99.192.0,255.255.240.0,10.237.156.0,10.128.112.0,10.99.206.2,255.255.255.128,10.99.206.19,10.99.206.129,255.255.255.128,10.99.206.149,0,,Active,,Full,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,,,None,1/1/1900,,,,1,0,0,,0,1/1/1900,0,1/1/1900,0,1/1/1900,0,,0,,0,,,,,,0,,3,,,
13,00BSNB,5,5,2843,10.33.80.0,255.255.240.0,10.227.56.0,10.128.128.0,10.33.94.2,255.255.255.0,10.33.94.39,10.33.95.1,255.255.255.128,10.33.95.19,0,,Active,,Full,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,,,None,1/1/1900,,,,1,,,,,,,,,,,,,,,,,,,,0,,3,,,
14,00M001,1218,1220,3631,10.41.16.0,255.255.240.0,10.224.28.0,10.50.16.0,10.41.30.2,255.255.255.0,10.41.30.39,10.41.31.1,255.255.255.128,10.41.31.19,1,00:00.0,Active,,Full,0,,1,,0,,0,,0,,1,,0,0,0,1,,0,,,Custom,1/1/1900,WJBOE00M001,001D003001,001D003001@RACKID00M001,1,1,0,,0,1/1/1900,0,1/1/1900,0,1/1/1900,0,,0,,0,,,,1496,,0,,1,,,
