ID,Code,Name,ATS,BEDS,Category,Students,FAX,Phone,Principal,PrincipalsPhone
1,K167,P.S. 167 The Parkway,17K167         ,331700010167,Elementary,518,NULL,NULL,NULL,NULL
2,K281,I.S. 281 Joseph B Cavallaro,21K281         ,332100010281,Junior High-Intermediate-Middle,1325,NULL,NULL,NULL,NULL
3,M018,P.S. 018 Park Terrace,06M018         ,310600010018,K-8,402,NULL,NULL,NULL,NULL
4,M133,P.S. 133 Fred R Moore,05M133         ,310500010133,Elementary,319,NULL,NULL,NULL,NULL
5,M419,Landmark High School,02M419         ,310200011419,High school,452,NULL,NULL,NULL,NULL
6,M435,Manhattan Center for Science and Mathematics,04M435         ,310400011435,High school,1696,NULL,NULL,NULL,NULL
7,Q096,P.S. 096,27Q096         ,342700010096,Elementary,331,NULL,NULL,NULL,NULL
8,Q226,J.H.S. 226 Virgil I. Grissom,27Q226         ,342700010226,Junior High-Intermediate-Middle,1473,NULL,NULL,NULL,NULL
9,Q410,Beach Channel High School,27Q410         ,342700011410,High school,1319,NULL,NULL,NULL,NULL
10,X012,P.S. X012 Lewis and Clark School,75X012         ,307500012012,K-12 all grades,289,NULL,NULL,NULL,NULL
11,X340,P.S. 340,10X340         ,321000010340,Elementary,544,NULL,NULL,NULL,NULL
12,X544,High School for Contemporary Arts,11X544         ,321100011544,High school,471,NULL,NULL,NULL,NULL
13,K195,P.S. 195 Manhattan Beach,22K195         ,332200010195,Elementary,392,NULL,NULL,NULL,NULL
14,K309,P.S. 309 The George E. Wibecan Preparatory Academy,16K309         ,331600010309,Elementary,343,NULL,NULL,NULL,NULL
15,K497,School for International Studies,15K497         ,331500011497,Secondary School,445,NULL,NULL,NULL,NULL
16,K811,P.S. K811 Connie Lekas School,75K811         ,307500013811,Secondary School,387,NULL,NULL,NULL,NULL
17,M407,Institute for Collaborative Education,02M407         ,310200011407,Secondary School,485,NULL,NULL,NULL,NULL
18,Q084,P.S. 084 Steinway,30Q084         ,343000010084,K-8,415,NULL,NULL,NULL,NULL
19,Q238,I.S. 238 - Susan B. Anthony Academy,29Q238         ,342900010238,Junior High-Intermediate-Middle,1629,NULL,NULL,NULL,NULL
20,X087,P.S. 087 Bronx,11X087         ,321100010087,Elementary,567,NULL,NULL,NULL,NULL
21,X670,Health Opportunities High School,07X670         ,320700011670,High school,616,NULL,NULL,NULL,NULL
22,K615,Transit Tech Career and Technical Education High School,19K615         ,331900011615,High school,1543,NULL,NULL,NULL,NULL
23,M129,P.S. 129 John H. Finley,05M129         ,310500010129,K-8,579,NULL,NULL,NULL,NULL
24,M411,Baruch College Campus High School,02M411         ,310200011411,High school,440,NULL,NULL,NULL,NULL
25,M542,Manhattan Bridges High School,02M542         ,310200011542,High school,509,NULL,NULL,NULL,NULL
26,Q104,P.S. 104 The Bays Water,27Q104         ,342700010104,Elementary,650,NULL,NULL,NULL,NULL
27,Q202,J.H.S. 202 Robert H. Goddard,27Q202         ,342700010202,Junior High-Intermediate-Middle,1096,NULL,NULL,NULL,NULL
28,R460,Susan E. Wagner High School,31R460         ,353100011460,High school,3306,NULL,NULL,NULL,NULL
29,X107,P.S. 107,08X107         ,320800010107,Elementary,550,NULL,NULL,NULL,NULL
30,X123,J.H.S. 123 James M. Kieran,08X123         ,320800010123,Junior High-Intermediate-Middle,567,NULL,NULL,NULL,NULL
31,K056,P.S. 056 Lewis H. Latimer,13K056         ,331300010056,Elementary,296,NULL,NULL,NULL,NULL
32,K505,Franklin Delano Roosevelt High School,20K505         ,332000011505,High school,3486,NULL,NULL,NULL,NULL
33,M255,M.S. 255 Salk School of Science,02M255         ,310200010255,Junior High-Intermediate-Middle,406,NULL,NULL,NULL,NULL
34,Q116,PS/IS 116 William C. Hughley,29Q116         ,342900010116,K-8,922,NULL,NULL,NULL,NULL
35,Q132,P.S. 132 Ralph Bunche,29Q132         ,342900010132,Elementary,395,NULL,NULL,NULL,NULL
36,Q230,I.S. 230,30Q230         ,343000010230,Junior High-Intermediate-Middle,945,NULL,NULL,NULL,NULL
37,X437,Fordham High School for the Arts,10X437         ,321000011437,High school,371,NULL,NULL,NULL,NULL
38,K305,P.S. 305 Dr. Peter Ray,13K305         ,331300010305,Elementary,360,NULL,NULL,NULL,NULL
39,K477,School for Legal Studies,14K477         ,331400011477,High school,836,NULL,NULL,NULL,NULL
41,M089,P.S. 89,02M089         ,310200010089,Elementary,545,NULL,NULL,NULL,NULL
43,Q136,P.S. 136 Roy Wilkins,29Q136         ,342900010136,Elementary,719,NULL,NULL,NULL,NULL
44,Q234,P.S. 234,30Q234         ,343000010234,Elementary,688,NULL,NULL,NULL,NULL
45,X083,P.S. 083 Donald Hertz,11X083         ,321100010083,K-8,1644,NULL,NULL,NULL,NULL
46,X368,In-Tech Academy (M.S. / High School 368),10X368         ,321000010368,Secondary School,1074,NULL,NULL,NULL,NULL
47,K048,P.S. 048 Mapleton,20K048         ,332000010048,Elementary,654,NULL,NULL,NULL,NULL
48,M415,Wadleigh Secondary School for the Performing & Visual Arts,03M415         ,310300011415,Secondary School,544,NULL,NULL,NULL,NULL
49,Q092,P.S. 092 Harry T. Stewart Sr.,30Q092         ,343000010092,Elementary,861,NULL,NULL,NULL,NULL
50,Q108,P.S. 108 Captain Vincent G. Fowler,27Q108         ,342700010108,Elementary,1352,NULL,NULL,NULL,NULL
51,Q206,P.S. 206 The Horace Harding School,28Q206         ,342800010206,Elementary,635,NULL,NULL,NULL,NULL
52,Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,30Q222         ,343000010222,Early Childhood,329,NULL,NULL,NULL,NULL
53,Q525,Townsend Harris High School,25Q525         ,342500011525,High school,1108,NULL,NULL,NULL,NULL
54,X127,J.H.S. 127 The Castle Hill,11X127         ,321100010127,Junior High-Intermediate-Middle,734,NULL,NULL,NULL,NULL
55,X540,School for Community Research and Learning,08X540         ,320800011540,High school,384,NULL,NULL,NULL,NULL
56,K052,P.S. 052 Sheepshead Bay,22K052         ,332200010052,Elementary,759,NULL,NULL,NULL,NULL
57,K285,I.S. 285 Meyer Levin,18K285         ,331800010285,Junior High-Intermediate-Middle,983,NULL,NULL,NULL,NULL
58,M137,P.S. 137 John L. Bernstein,01M137         ,310100010137,Elementary,224,NULL,NULL,NULL,NULL
59,M439,Manhattan Village Academy,02M439         ,310200011439,High school,449,NULL,NULL,NULL,NULL
60,M550,Liberty High School Academy for Newcomers,02M550         ,310200011550,High school,420,NULL,NULL,NULL,NULL
61,Q112,P.S. 112 Dutch Kills,30Q112         ,343000010112,Elementary,492,NULL,NULL,NULL,NULL
62,X016,P.S. 016 Wakefield,11X016         ,321100010016,Elementary,633,NULL,NULL,NULL,NULL
63,X131,J.H.S. 131 Albert Einstein,08X131         ,320800010131,Junior High-Intermediate-Middle,879,NULL,NULL,NULL,NULL
64,X360,P.S. 360,10X360         ,321000010360,Elementary,482,NULL,NULL,NULL,NULL
65,X433,High School for Teaching and the Professions,10X433         ,321000011433,High school,484,NULL,NULL,NULL,NULL
66,X548,Urban Assembly School for Careers in Sports,07X548         ,320700011548,High school,341,NULL,NULL,NULL,NULL
67,K199,P.S. 199 Frederick Wachtel,21K199         ,332100010199,Elementary,527,NULL,NULL,NULL,NULL
68,K297,P.S. 297 Abraham Stockton,14K297         ,331400010297,Elementary,327,NULL,NULL,NULL,NULL
69,M125,P.S. 125 Ralph Bunche,05M125         ,310500010125,Elementary,238,NULL,NULL,NULL,NULL
70,M223,The Mott Hall School,06M223         ,310600010223,Junior High-Intermediate-Middle,370,NULL,NULL,NULL,NULL
71,Q088,P.S. 088 Seneca,24Q088         ,342400010088,Elementary,1079,NULL,NULL,NULL,NULL
72,X103,P.S. 103 Hector Fontanez,11X103         ,321100010103,Elementary,1165,NULL,NULL,NULL,NULL
73,X405,Herbert H. Lehman High School.,08X405         ,320800011405,High school,4115,NULL,NULL,NULL,NULL
74,K299,P.S. 299 Thomas Warren Field,32K299         ,333200010299,Elementary,469,NULL,NULL,NULL,NULL
75,K311,Essence School,19K311         ,331900010311,Junior High-Intermediate-Middle,240,NULL,NULL,NULL,NULL
77,M225,Ella Baker School,02M225         ,310200011225,K-8,327,NULL,NULL,NULL,NULL
78,M540,A. Philip Randolph Campus High School,06M540         ,310600011540,High school,1473,NULL,NULL,NULL,NULL
79,Q102,P.S. 102 Bayview,24Q102         ,342400010102,K-8,1024,NULL,NULL,NULL,NULL
